HIPPO, 307
28.5,13.5,-28.5
25.5,13.5,-28.5
28.5,10.5,-28.5
25.5,10.5,-28.5
22.5,10.5,-28.5
-22.5,10.5,-28.5
-25.5,10.5,-28.5
-28.5,10.5,-28.5
-31.5,10.5,-28.5
-34.5,10.5,-28.5
28.5,7.5,-28.5
25.5,7.5,-28.5
22.5,7.5,-28.5
-22.5,7.5,-28.5
-25.5,7.5,-28.5
-28.5,7.5,-28.5
-31.5,7.5,-28.5
-34.5,7.5,-28.5
-25.5,4.5,-28.5
28.5,16.5,-25.5
25.5,16.5,-25.5
22.5,16.5,-25.5
-22.5,16.5,-25.5
-25.5,16.5,-25.5
-28.5,16.5,-25.5
34.5,13.5,-25.5
31.5,13.5,-25.5
28.5,13.5,-25.5
25.5,13.5,-25.5
22.5,13.5,-25.5
19.5,13.5,-25.5
-19.5,13.5,-25.5
-22.5,13.5,-25.5
-25.5,13.5,-25.5
-28.5,13.5,-25.5
-31.5,13.5,-25.5
28.5,10.5,-25.5
25.5,10.5,-25.5
22.5,10.5,-25.5
19.5,10.5,-25.5
-19.5,10.5,-25.5
-22.5,10.5,-25.5
-25.5,10.5,-25.5
-28.5,10.5,-25.5
-31.5,10.5,-25.5
-34.5,10.5,-25.5
28.5,7.5,-25.5
25.5,7.5,-25.5
22.5,7.5,-25.5
19.5,7.5,-25.5
-19.5,7.5,-25.5
-22.5,7.5,-25.5
-25.5,7.5,-25.5
-28.5,7.5,-25.5
-31.5,7.5,-25.5
28.5,4.5,-25.5
25.5,4.5,-25.5
-22.5,4.5,-25.5
-25.5,4.5,-25.5
-28.5,4.5,-25.5
-25.5,1.5,-25.5
-28.5,1.5,-25.5
34.5,19.5,-22.5
31.5,19.5,-22.5
28.5,19.5,-22.5
25.5,19.5,-22.5
22.5,19.5,-22.5
-22.5,19.5,-22.5
-25.5,19.5,-22.5
-28.5,19.5,-22.5
-31.5,19.5,-22.5
37.5,16.5,-22.5
34.5,16.5,-22.5
31.5,16.5,-22.5
28.5,16.5,-22.5
25.5,16.5,-22.5
22.5,16.5,-22.5
19.5,16.5,-22.5
-19.5,16.5,-22.5
-22.5,16.5,-22.5
-25.5,16.5,-22.5
-28.5,16.5,-22.5
-31.5,16.5,-22.5
-34.5,16.5,-22.5
-37.5,16.5,-22.5
37.5,13.5,-22.5
34.5,13.5,-22.5
31.5,13.5,-22.5
28.5,13.5,-22.5
25.5,13.5,-22.5
22.5,13.5,-22.5
19.5,13.5,-22.5
-19.5,13.5,-22.5
-22.5,13.5,-22.5
-25.5,13.5,-22.5
-28.5,13.5,-22.5
-31.5,13.5,-22.5
-34.5,13.5,-22.5
-37.5,13.5,-22.5
31.5,10.5,-22.5
28.5,10.5,-22.5
-16.5,10.5,-22.5
-28.5,10.5,-22.5
-31.5,10.5,-22.5
-34.5,10.5,-22.5
-28.5,7.5,-22.5
-31.5,7.5,-22.5
-25.5,4.5,-22.5
-28.5,4.5,-22.5
-25.5,1.5,-22.5
-28.5,1.5,-22.5
34.5,22.5,-19.5
31.5,22.5,-19.5
28.5,22.5,-19.5
25.5,22.5,-19.5
22.5,22.5,-19.5
19.5,22.5,-19.5
-22.5,22.5,-19.5
-25.5,22.5,-19.5
-28.5,22.5,-19.5
-31.5,22.5,-19.5
-34.5,22.5,-19.5
34.5,19.5,-19.5
31.5,19.5,-19.5
28.5,19.5,-19.5
25.5,19.5,-19.5
22.5,19.5,-19.5
19.5,19.5,-19.5
-19.5,19.5,-19.5
-22.5,19.5,-19.5
-25.5,19.5,-19.5
-28.5,19.5,-19.5
-31.5,19.5,-19.5
-34.5,19.5,-19.5
37.5,16.5,-19.5
34.5,16.5,-19.5
31.5,16.5,-19.5
28.5,16.5,-19.5
25.5,16.5,-19.5
22.5,16.5,-19.5
-22.5,16.5,-19.5
-25.5,16.5,-19.5
-28.5,16.5,-19.5
-31.5,16.5,-19.5
-34.5,16.5,-19.5
-37.5,16.5,-19.5
37.5,13.5,-19.5
34.5,13.5,-19.5
31.5,13.5,-19.5
-31.5,13.5,-19.5
-34.5,13.5,-19.5
-37.5,13.5,-19.5
-31.5,10.5,-19.5
-25.5,7.5,-19.5
28.5,4.5,-19.5
-22.5,4.5,-19.5
-25.5,4.5,-19.5
-28.5,4.5,-19.5
-22.5,1.5,-19.5
-25.5,1.5,-19.5
-28.5,1.5,-19.5
