vox1,vox2,weight
2,0,0.4949520945886588
3,1,0.42808871736377524
4,1,0.32225357008191374
4,3,0.4536705078148311
6,5,0.5300531770533587
7,6,0.43190732051308744
8,7,0.5325901689453125
9,8,0.3288929221410422
12,11,0.5266486105509809
14,13,0.591178843128866
16,15,0.5878226643515961
18,14,0.4020631936390111
21,20,0.5189299576124164
23,22,0.5310661163807822
26,25,0.313022675243852
27,26,0.6338685065010341
29,28,0.49265683213644623
33,6,0.3365863936604478
33,32,0.48998752358926523
34,6,0.323914131151461
34,33,0.34837942042969283
35,13,0.30297235571461206
35,34,0.6884378553147045
36,2,0.38729425819529184
36,26,0.3168748962399444
36,27,0.4081765275767557
37,28,0.4194134301822003
37,36,0.31319202770983867
38,29,0.4453156308556588
38,37,0.43870303692384044
39,30,0.5461547199774468
40,31,0.40051149563732896
41,5,0.3453119207092012
41,32,0.4716925637784266
41,33,0.33638045522637916
42,5,0.35200047125759243
42,6,0.507161031457129
42,7,0.32123255469114675
42,32,0.30950118159972817
42,33,0.5437224488454446
42,34,0.3095102118046183
42,41,0.5411878669110234
43,6,0.3466630742493883
43,7,0.3720311684804351
43,34,0.5171925982618785
43,35,0.37983604680209043
43,42,0.42065562280434116
44,8,0.31622538680139894
44,34,0.39202384173761695
44,35,0.4727702386732249
44,43,0.5993148045607706
45,9,0.3954030900156266
45,44,0.4165599180525707
47,11,0.4189358438317425
48,47,0.494606987701093
50,40,0.32526730651489294
52,13,0.32467883475331244
52,14,0.3338182108017009
52,51,0.5363750474707464
54,44,0.3092890459334821
54,53,0.5502876473754386
55,46,0.46071525891402604
56,47,0.5418675373632634
56,48,0.303458908198426
57,51,0.5744824633293177
57,52,0.36440033494710894
58,18,0.30834401218394775
58,51,0.3613118970329264
58,52,0.5286712450449667
58,57,0.5789986192552241
59,53,0.48064347867327956
59,54,0.35081160309997417
64,63,0.4676534586292626
66,65,0.505556476043321
67,22,0.30587110155753855
68,23,0.3275516177770382
68,67,0.5151969955007772
70,69,0.6345972768820762
72,62,0.519445129143796
72,71,0.42149130236064486
73,19,0.30792124263333426
73,63,0.49118525498862425
74,19,0.5202597223995542
74,64,0.44293721029516525
74,73,0.492526002112806
75,20,0.5300429145314546
75,21,0.3049216943465942
75,65,0.43634414333713095
75,66,0.3152093034862264
