vox1,vox2,weight
1,0,0.45469768085930434
2,0,0.49523412053545224
2,1,0.3391982723325641
3,0,0.378055325198328
3,1,0.4489424343209693
3,2,0.4871878445451053
4,3,0.40591258843121275
7,6,0.4253370432387125
9,8,0.34397237326458835
10,2,0.4462503581311697
10,3,0.3470970044486316
11,3,0.3612608666055297
11,10,0.34543943737379124
12,4,0.4274511646597938
12,11,0.34446016600927015
14,13,0.38616261933117557
15,14,0.3739723178167149
16,8,0.34740861159628184
16,15,0.36408760262471196
17,9,0.42203784583798326
26,25,0.3698976461267158
27,0,0.44928569640070437
27,19,0.40751541048759155
28,1,0.423780619787765
28,27,0.4409511203362238
29,28,0.43599600473899197
33,23,0.36837660203594674
33,32,0.32889418109204716
34,24,0.35354095533663393
34,33,0.48786542134436833
35,34,0.5090225685047034
36,2,0.3474203369387056
36,27,0.38885348733622255
37,3,0.43934406929523856
37,28,0.44222446403555066
37,36,0.45185669276164714
38,3,0.3288846476143481
38,4,0.4246721885731997
38,29,0.40383365134719185
38,37,0.4239116533685583
39,38,0.3813205007724881
41,40,0.33315976235283434
42,6,0.39639200435053024
42,33,0.3616423912124498
43,7,0.3557807632571966
43,42,0.4473486267191906
44,8,0.37105177365250896
44,35,0.3384606326141199
45,9,0.3298413802607194
45,44,0.449908675240283
46,10,0.4191963877867133
46,36,0.4430081922104135
47,11,0.4003722405750791
47,37,0.4413780994265597
47,46,0.35675937036491895
48,12,0.349336254514695
48,38,0.362407358077238
50,40,0.3381695600638221
51,41,0.35653701843916386
52,14,0.33710438673482307
52,42,0.3353057938434021
52,51,0.37670783834479504
53,15,0.38646590645744755
53,43,0.3732066567620456
53,52,0.40177269797531023
54,16,0.38745489051282145
54,44,0.409031246466403
54,53,0.4039882619645539
55,46,0.3585207254496912
56,47,0.36757471588945334
56,55,0.3531072623905274
58,18,0.3635815178216529
59,53,0.39149174091481687
59,58,0.3744336021664964
61,59,0.3671932368030791
61,60,0.37584642411155694
63,62,0.37280598933048453
66,65,0.33636413943889876
68,67,0.3686751952858418
70,69,0.35691909390420795
72,62,0.35626784742153883
72,71,0.3760165569464618
73,72,0.38031664044679636
74,19,0.3423995327139886
74,73,0.35735930783272973
75,74,0.42037884923967656
76,66,0.3515409079817395
77,76,0.336109211785195
80,68,0.34221347747571973
80,79,0.3328821490670723
81,24,0.3729546990034763
81,80,0.36158626037938363
82,70,0.39831320468654136
82,81,0.4336886100790682
83,82,0.439291229218457
84,83,0.42343654639030004
85,71,0.4241360392117574
86,25,0.3577385895891088
86,72,0.39792035074519494
86,85,0.3586470682660767
87,26,0.3651067952124538
87,73,0.3736630076391467
87,86,0.3919336512128575
88,27,0.41117366157324553
88,74,0.41382662537357445
88,87,0.3764010627675769
89,27,0.3423305251441766
89,28,0.43895204335988075
89,75,0.38489813864603123
89,88,0.411718809437718
90,29,0.395516763411508
90,75,0.3332119911538017
90,76,0.34191210675972755
90,89,0.36895039292958726
91,77,0.4267469154442609
93,79,0.3397400761512797
94,33,0.41792581990269867
94,80,0.4588196513333762
95,34,0.45689915663632846
95,81,0.39789404229381403
95,94,0.38004325346592055
96,35,0.3644958534367704
96,82,0.4077892067988757
96,95,0.5076382629083677
97,83,0.43520130796958734
97,95,0.33537159706290803
97,96,0.4938434727941039
98,84,0.4477863011659436
98,97,0.42696570027884556
99,87,0.4120729050394378
100,36,0.36487410858730335
100,88,0.33383289379856224
100,99,0.4614974689247228
102,43,0.33924187137545586
102,95,0.3975773568655779
102,96,0.33966279447390973
103,44,0.3986853983114569
103,95,0.3294683906514783
103,96,0.4716231103813872
103,102,0.4686898098766734
104,45,0.34721916825265337
104,97,0.4203808015203863
104,103,0.5143883366929066
105,53,0.4329010884711029
105,102,0.399231222998752
106,54,0.39670696786526577
106,103,0.3631808021539345
106,105,0.4229000219510299
107,58,0.3418627512652137
108,59,0.3294357692423438
108,105,0.4519828929393512
108,107,0.4226148024306555
109,107,0.3762209494614243
110,108,0.34920762775267633
110,109,0.4360997447395805
113,112,0.3727857424456522
114,113,0.34159248281076154
115,114,0.37982045189606867
118,117,0.40877609338507237
119,118,0.39146747497337797
120,119,0.39851685140817805
121,120,0.39760927054037826
122,62,0.4255251501989396
122,111,0.41973782828901784
123,63,0.3865249885721558
123,112,0.32952848200186025
123,122,0.3943485286374793
124,64,0.3453888846953461
124,123,0.3784857112673128
125,114,0.3314091617777975
125,124,0.4304708496483476
126,115,0.3458401724234217
126,125,0.46111113631360956
127,116,0.48199210307196666
127,126,0.3569906970257968
129,67,0.34627012445920574
129,117,0.3443763479712319
129,128,0.35025979695885523
130,68,0.45628273634064226
130,118,0.394448250459676
130,129,0.4495245957002953
131,69,0.3396363011558301
131,119,0.37649678224616157
131,130,0.4399779685339406
132,70,0.3319041970856924
132,120,0.40162954630703324
132,131,0.4432261511642577
133,121,0.4029086777397985
133,132,0.46346366322386007
134,71,0.408681304897605
134,122,0.3375039025574525
135,72,0.3733678341825457
135,122,0.4450582156205467
135,134,0.4362516753907408
136,73,0.36033552982979683
136,123,0.41923783293051553
136,135,0.40450179344626164
137,74,0.3645363967727948
137,124,0.42791133459094216
137,136,0.38352084565087635
138,75,0.3881446649820884
138,125,0.4330702759863357
138,137,0.4627353329826322
139,125,0.3616665410200261
139,126,0.4778355976560376
139,138,0.4501862902233622
140,129,0.44752975708698056
140,130,0.37264824881775427
141,80,0.35374912377376405
141,130,0.4295846092330929
141,140,0.4781803301526571
142,81,0.37652703552416106
142,131,0.3475924940014776
142,141,0.46931084009048113
143,82,0.35213689503571355
143,132,0.39180913400027384
143,142,0.49897298204801244
144,83,0.3810099678012296
144,133,0.4418068671510027
144,143,0.4659561051633432
145,84,0.35983087263165503
145,133,0.3724905271716095
145,144,0.40629195409942587
146,85,0.40237893109496037
146,134,0.4015119262788068
147,86,0.3689605719614546
147,135,0.41244869152413344
147,146,0.353495006683904
148,87,0.37238841966176706
148,135,0.3350210421862792
148,136,0.3560282537218356
148,147,0.39092217588874645
149,96,0.37724958880560483
150,97,0.36665679678507274
150,149,0.4486018718613667
151,98,0.5260056695328381
151,145,0.40082832757408515
151,150,0.3632109685879759
152,103,0.3914857882784916
152,104,0.33584674269480647
152,149,0.43265610201983545
156,107,0.36969767298706513
156,155,0.42545071010774316
157,108,0.41255353362212616
157,156,0.3924268918410622
159,109,0.37325734885832085
159,158,0.5191616618552869
160,156,0.3437155115927036
160,157,0.3508121805075885
165,164,0.4864838140649352
167,166,0.33868211857240405
168,161,0.3642449041885654
168,167,0.4096529422423692
169,168,0.46605479496121255
170,169,0.438006984309873
171,170,0.34982375864635396
172,163,0.3999423889290139
174,164,0.4895288522965416
174,165,0.3518829490842836
174,173,0.39030109105017957
175,165,0.369747665793599
175,174,0.3871941955048515
176,175,0.40870771504230086
177,166,0.45913204376086497
178,111,0.3436445690233378
178,167,0.34252722634421584
178,177,0.34292644092883484
179,112,0.39032983637317537
179,168,0.37800858470675713
179,178,0.4151160111758654
180,179,0.37876869911156597
181,114,0.3309323625231069
181,170,0.4061032306134719
181,180,0.3636977325173323
182,115,0.4490983221986571
182,171,0.3842557486863809
182,181,0.390625837401392
183,117,0.3927642082436213
183,182,0.3494089666042519
184,118,0.41785172829686584
184,173,0.3550807395298918
184,183,0.4321437808492829
185,119,0.3494127038974839
185,184,0.4202235643073993
186,120,0.4342240667614681
186,175,0.37674752000985307
186,185,0.436027946136905
187,121,0.3984545413323592
187,176,0.37370067836753024
187,186,0.463275719573061
188,187,0.36076476198121116
189,122,0.4385944455385693
189,178,0.40733613872529767
190,131,0.35776837448930615
190,185,0.34268973420796894
191,132,0.35150849965501463
191,190,0.41271136795493985
192,133,0.40176330618776473
192,187,0.395875413889776
192,191,0.4882382603524374
193,153,0.39733107779525273
198,161,0.3761649549521368
198,197,0.39311713915027996
199,198,0.5252170661667673
202,201,0.32926345371751703
205,204,0.42472200352288075
206,205,0.38675384289649944
207,166,0.4236194291593644
207,196,0.45308784321980794
208,167,0.41250062444316543
208,197,0.3831759622182635
208,207,0.35360931852379857
209,198,0.4262083217458254
209,208,0.37923148472967955
210,198,0.37371924037861665
210,199,0.46148141410905436
210,209,0.4304876441872418
213,172,0.4414493490283451
213,202,0.3731172980600996
215,203,0.37712769479851427
216,204,0.44151736131377634
216,205,0.36589684730700184
216,215,0.3558589137626325
217,174,0.3292129905613817
217,175,0.41408793119082327
217,205,0.37480592039010485
217,216,0.39235663244840474
218,176,0.400710466518182
218,206,0.43325769638702627
218,217,0.4562642138812217
219,184,0.37320923749623564
219,215,0.45708008850822895
220,219,0.422171021022334
223,222,0.43663342537679645
224,223,0.417544356375257
226,221,0.3862684615451857
227,222,0.4085136211377601
227,223,0.3423191415017979
227,226,0.3631010375608212
228,223,0.46695295247827207
228,227,0.5458333778281418
229,224,0.4029161972149624
230,229,0.3610177401254056
231,230,0.33741995343808334
233,232,0.3801424415143191
234,165,0.3372843985996854
234,233,0.3988130854753948
236,235,0.3663608202648232
237,231,0.41783944370818965
237,236,0.33046431111061175
239,203,0.4856099890984564
239,232,0.36286286401050827
239,238,0.4056284589489718
240,204,0.33155287749176493
240,233,0.424709636100904
240,234,0.3771721860622468
240,239,0.4903441633752513
242,241,0.37661214997502374
243,221,0.3697739585812258
244,222,0.3558912701445234
244,243,0.46424114288729373
245,241,0.41599721555074504
245,244,0.5331574336189026
246,242,0.40173652571033003
246,244,0.3320365950803661
246,245,0.49295168798658223
247,246,0.4348486196133958
248,247,0.34470178357036935
250,225,0.3704252484017893
250,249,0.48449825525250817
251,245,0.41123503776674014
253,230,0.3719444229820292
256,255,0.33244975911323377
257,232,0.47839948526815035
